Nom produit informatique,Classement,nombre d'étoiles,Titre du film,Classement,Nombre d'étoiles,Produit animalier,Classement,Nombre d'étoiles
SanDisk Ultra Luxe 128 Go Clé USB Type-C double connectique,#11,"4,5 sur 5 étoiles",Top Gun : Maverick,#11,"4,4 sur 5 étoiles",SERESTO Chien – Collier Anti-Puces et Anti-Tiques pour Grands Chiens - 8KG Et Plus,#11,"4,6 sur 5 étoiles"
"HP 304 Cartouche d'Encre Trois Couleurs Authentique (N9K05AE), Tri-Colour",#12,"4,6 sur 5 étoiles",Tom Cruise,#12,"4,0 sur 5 étoiles",Frontline Spot-on Chat - Anti-puces et anti-tiques pour chat - 6 pipettes,#12,"4,4 sur 5 étoiles"
"SanDisk 256 Go Ultra Carte Mémoire microSDXC + Adaptateur SD. Vitesse de Lecture Allant jusqu'à 120MB/S, Classe 10, U1, homologuée A1",#13,"4,7 sur 5 étoiles",Pulp Fiction [4K Ultra HD + Blu-Ray-Édition boîtier SteelBook],#13,"4,8 sur 5 étoiles","ACE2ACE Brosse Anti Poils Animaux Chat Chien, Brosse Ramasse Enlève Poils, Magique Réutilisable pour Poils, Rouleau à Poils d'animaux, Épilateur(vêtements/canapé/Voiture/lit/Tapis)",#13,"4,3 sur 5 étoiles"
"SanDisk 128 Go Extreme PRO SDXC, carte mémoire, jusqu'à 170 MB/s UHS-I Classe 10, U3, V30",#14,"4,7 sur 5 étoiles",John Travolta,#14,"4,6 sur 5 étoiles","Edgard & Cooper Friandises Chien Chiot Naturelles Sans Cereales Canard et Poulet Frais; Goût Potiron/Banane, Sachet de poche 50g, Bonbecs savoureux aux protéines de qualité pour le récompenser",#14,"4,6 sur 5 étoiles"
"Crucial BX500 1To CT1000BX500SSD1 SSD Interne-jusqu’à 540 Mo/s (3D NAND, SATA, 2,5 pouces)",#15,"4,8 sur 5 étoiles",Mourir Peut Attendre,#15,"4,7 sur 5 étoiles",ADVANTIX Chien Moyen – Anti-Puces et Anti-Tiques – 10-25KG – 6 Pipettes,#15,"4,6 sur 5 étoiles"
"WD Elements 2 To, Disque dur externe, USB 3.0",#16,"4,7 sur 5 étoiles",Daniel Craig,#16,"4,4 sur 5 étoiles","Pieviev Tapis Litière Chat Bac à Litière pour Chats, Imperméable Non Toxique EVA,Double Couche en Nid d'abeille Design (76x61cm, Noir)",#16,"4,3 sur 5 étoiles"
Canon Pack de 2 Cartouches PG 540 / CL 541 : Noir et Couleur (Emballage standard),#17,"4,7 sur 5 étoiles",Downton Abbey II : Une Nouvelle ère,#17,"5,0 sur 5 étoiles","PetSafe – Chatière pour chien et chat Originale Staywell, 2 voies d’accès – entrée et sortie - Porte pour animaux. Résistante, Rigide, Panneau de Fermeture (vendu séparément) – Blanc (S)",#17,"4,3 sur 5 étoiles"
"TP-Link Adaptateur Bluetooth 5.0 UB500, dongle bluetooth 5.0, clé bluetooth pour PC, casque, souris, manette, clavier, imprimantes, smartphone, tablette, compatible avec Windows 11/10/8.1/7",#18,"4,5 sur 5 étoiles",Hugh Bonneville,#18,"4,0 sur 5 étoiles",Catit Pack de 5 Filtres à Triple Action pour abreuvoir pour chat,#18,"4,6 sur 5 étoiles"
HP 304 Cartouche d'Encre Noire Authentique (N9K06AE),#19,"4,6 sur 5 étoiles","Encanto, la Fantastique Famille Madrigal",#19,"4,0 sur 5 étoiles","FEANDREA Arbre à Chat Multi-Niveaux, Hauteur 110 cm, Niche, Gris Clair PCT52W",#19,"4,7 sur 5 étoiles"
HP 305XL cartouche d'encre noire haute capacité originale,#20,"4,6 sur 5 étoiles",Jared Bush,#20,"4,5 sur 5 étoiles","rabbitgoo Harnais Chat Petit Chien Laisse Harnais Chaton Réglable Noir XS Collier Harnai Chat Refléchissant Gilet Respirant pour Lapin, Chat Européen, Maine Coon, Persan, Attache Dessus avec Laisse",#20,"4,1 sur 5 étoiles"
"2021 Apple iPad (10,2 pouces, Wi-Fi, 64 Go) - Gris sidéral (9ᵉ génération)",#21,"4,8 sur 5 étoiles",The Suicide Squad [4K Ultra-HD + Blu-Ray-Édition boîtier SteelBook],#21,"5,0 sur 5 étoiles",Feliway Classic – Anti-Stress pour Chat - Recharges (3 recharges),#21,"4,5 sur 5 étoiles"
HP 304XL Cartouche d'Encre Noire grande capacité Authentique (N9K08AE),#22,"4,6 sur 5 étoiles",Margot Robbie,#22,"4,5 sur 5 étoiles","Petsly Spray Anti Marquage Urinaire Chien et Chat - Produit Naturel - Anti Urine Chat et Chien - Action Longue Durée - Spray Éducateur, Anti Urine Chien et Chat - Usage Intérieur et Extérieur, 500 ML",#22,"3,3 sur 5 étoiles"
"TP-Link Clé WiFi Puissante AC1300 Mbps, adaptateur USB wifi, dongle wifi, USB 3.0 Double Bande, 2.4G / 5GHz, MU-MIMO, compatible avec Windows 11/10/8.1/8/7/XP, Mac OS X, Archer T3U",#23,"4,4 sur 5 étoiles",Top gun : Maverick - Steelbook - Combo UHD 4K + Blu-ray [4K Ultra HD + Blu-ray - Édition boîtier SteelBook],#23,"4,6 sur 5 étoiles",FRONTLINE TRI-ACT Chien - Anti-puces et anti-tiques pour chien - 20-40kg - 6 pipettes,#23,"4,5 sur 5 étoiles"
"SanDisk Ultra 128 Go Dual Drive, Clé USB 3.1, Type-C à Double Connectique",#24,"4,5 sur 5 étoiles",Tom Cruise,#24,"3,8 sur 5 étoiles","PetSafe – Litière pour bac à litière autonettoyant ScoopFree, plateau de litière en cristal bleu, Recharge Litière PetSafe Absorbante et sans odeur, hygiénique",#24,"4,3 sur 5 étoiles"
"Amazon Basics - Carte Mémoire MicroSDXC, 128 Go, avec Adaptateur SD, A2, U3, vitesse de lecture maximale de 100 Mo/s",#25,"4,6 sur 5 étoiles",TOUS EN SCENE 2,#25,"4,0 sur 5 étoiles","VSSHE Chat Pointeur, Interactif Jouet Chat a LED 7 en 1 Fonction (Lampe de Poche + 5 Motif Réglable + Lumière UV), USB Rechargeable Jouet Lumineux Rouge à LED pour Chat Chien Outil de Formation",#25,"4,4 sur 5 étoiles"
"TP-Link TL-SG105 Switch Ethernet Gigabit 5 ports RJ45 metallique 10/100/1000 Mbps, IGMP Snooping, switch RJ45 idéal pour étendre le réseau câblé pour les bureaux à domicile",#26,"4,7 sur 5 étoiles",Garth Jennings,#26,"4,8 sur 5 étoiles",Feliway Optimum - Anti-Stress pour Chat - Kit Complet,#26,"3,9 sur 5 étoiles"
"HP 62 Cartouche d'Encre Trois Couleurs Authentique (C2P06AE), Cyan/Magenta/Jaune",#27,"4,6 sur 5 étoiles",LE PACTE DES LOUPS Édition limitée collector 20ème anniversaire - SteelBook + Digipack - 4K UHD + Blu-Ray + DVD,#27,"4,8 sur 5 étoiles","Cat’s Best organic litter, 1 Pack de 2,1 kg",#27,"4,3 sur 5 étoiles"
"Hephinov Carte Micro SD jusqu'à 100MB/s(R), 64Go Carte Mémoire microSDHC + Adaptateur SD, A1, U3, C10, V30, Full HD et 4K UHD, Carte TF pour Drone/Dash Cam/Camera/Phone/Nintendo-Switch/PC/Tablette",#28,"4,5 sur 5 étoiles",Samuel Le Bihan,#28,"4,6 sur 5 étoiles",CURVER Maison de Toilette pour Chat - Bac à Litière Fermé - Compartiment Inférieur Amovible pour un Nettoyage Facile - Pelle à Litière et Tapis de Sol Inclus - 51 x 39 x 39 cm - Anthracite - Recyclé,#28,"4,5 sur 5 étoiles"
302 Couleurs Cartouche F6U65AE pour HP Officejet,#29,"4,7 sur 5 étoiles",Game of Thrones (Le Trône de Fer) -L'intégrale des Saisons 1 à 8 [Blu-Ray],#29,"4,7 sur 5 étoiles",lionto Panier rond pour chien coussin pour chat panier donut Ø 50 cm (M) Gris foncé,#29,"4,5 sur 5 étoiles"
Samsung Carte mémoire microSD Evo Plus 64 Go SDXC U1 Classe 10 A1 130 Mo/s avec Adaptateur Version 2021 (MB-MC64KA/EU),#30,"4,6 sur 5 étoiles",Kit Harington,#30,"4,5 sur 5 étoiles","MASBRILL Collier Chien Lumineux Rechargeable et Etanche, LED Clignotant Collier de Sécurité avec Ceinture Réglable pour Petits/Moyens/Gros Chiens(Rouge, M)",#30,"4,4 sur 5 étoiles"
"Lecteur CD/DVD Externe, Cocopa USB 3.0 Graveur DVD Externe CD Enregistreur Portable RW/ROM Mince ROM Transmission Rapide Câble USB Intégrée Windows/Mac OS Apple/iMac/Macbook/Laptop/Desktops/PC Noir",#31,"4,3 sur 5 étoiles",Uncharted [Blu-Ray],#31,"4,5 sur 5 étoiles","PETLIBRO Fontaine a Eau Chat, 71 oz/2.1 Fontaine Chat Ultra-Silencieuse, Incluant 4 filtres et 4 éponges, Deux Modes de Débit, sans BPA, Distributeur Eau pour Chien avec Niveau Eau Visible (amélioré)",#31,"4,5 sur 5 étoiles"
"Epson Multipack 603 Etoile de Mer, Cartouches d'encre d'origine, 4 couleurs : Noir, Cyan, Magenta, Jaune, XP-2100 XP-2150 XP-3100 XP-3150 XP-4100 XP-4150 WF-2810DWF WF-2820 WF-2840 WF-2850DWF WF-2870",#32,"4,5 sur 5 étoiles",Tom Holland (II),#32,"4,2 sur 5 étoiles","rabbitgoo Harnais Chien Anti Traction, Arnet pour Chien Facile à Mettre Harnais Réfléchissant Réglable avec Attache Devant Harnais pour Chien Moyen, Large, Couleur Noir",#32,"4,5 sur 5 étoiles"
"HP 305 Cartouche d'Encre Trois Couleurs Authentique (3YM60AE), Cyan/Magenta/Jaune",#33,"4,6 sur 5 étoiles",Top gun & Top gun : Maverick - Combo 2 UHD 4K + 2 Blu-ray [4K Ultra HD + Blu-ray],#33,"4,8 sur 5 étoiles","Marque Amazon- Lifelong Aliment complet pour chats adultes- Sélection à la viande en gelée 4,8 kg (48 sachets x 100g)",#33,"4,1 sur 5 étoiles"
"Kingston A400 SSD SSD Interne 2.5"" SATA Rev 3.0, 240GB - SA400S37/240G",#34,"4,7 sur 5 étoiles",Tom Cruise,#34,"4,8 sur 5 étoiles",Tapis de litière gris: Tapis de litière maison de 30x40cm - Tapis de litière pour chat et chaton - Tapis de litière pour chats - Pretty Kitty,#34,"3,8 sur 5 étoiles"
HP 301 Cartouche d'Encre Noire Authentique (CH561EE),#35,"4,6 sur 5 étoiles",Top gun : Maverick - Combo UHD 4K+ Blu-ray [4K Ultra HD + Blu-ray],#35,"4,7 sur 5 étoiles","Vitakraft Magic Clean - Litière silice 8 semaines pour Chat - 8,4L",#35,"4,3 sur 5 étoiles"
HP 301XL Cartouche d'Encre Noire grande capacité Authentique (CH563EE),#36,"4,6 sur 5 étoiles",Tom Cruise,#36,"4,8 sur 5 étoiles","Edgard & Cooper Boite Paté Chat sans Cereales Nourriture Naturelle, Alimentation Saine savoureuse et équilibrée, Protéines de qualité supérieure (Multipack, 85g x 12 - Cabillaud/Gibier/Dinde/Agneau)",#36,"4,2 sur 5 étoiles"
HP 305 Encre Tricolor,#37,"4,6 sur 5 étoiles",Astrid & Raphaëlle - Saison 3,#37,"4,4 sur 5 étoiles","Amazon Basics Cage pour chien pliable en fil métallique avec plateau, Double porte, 91,4 cm",#37,"4,6 sur 5 étoiles"
WD Elements Disque dur portable externe 1 To USB 3.0,#38,"4,7 sur 5 étoiles",Lola Dewaere,#38,"4,8 sur 5 étoiles","GOURMET - Les Filettines en Sauce : Bœuf, Poulet, Lapin, Saumon - 60x85g",#38,"4,6 sur 5 étoiles"
"SanDisk 64 Go Extreme Pro Carte SDXC + RescuePRO Deluxe, jusqu'à 200 Mo/s, UHS-I, Classe 10, U3, V30",#39,"4,8 sur 5 étoiles",Maison de Retraite,#39,"4,9 sur 5 étoiles",Aimé - Balle pour Chien 5 en 1 Saveur Bœuf - Jouet Interactif Chien pour Développer et Stimuler les 5 Sens - Jouet Chien Éducatif et Résistant Toutes Races et Tous Âges - Balle 6 cm,#39,"4,4 sur 5 étoiles"
Canon Cartouche PG 545 Noir (Emballage sécurisé),#40,"4,7 sur 5 étoiles",Kev Adams,#40,"4,2 sur 5 étoiles",CATISFACTIONS Friandises pour Chat et Chaton Saveur Saumon - Lot de 6 Sachets 60g - Croquantes à l'Extérieur Tendres à l'Intérieur - Idéal pour Partager un Moment de Complicité,#40,"4,7 sur 5 étoiles"
HP 303 Cartouche d'Encre Noire Authentique (T6N02AE),#41,"4,6 sur 5 étoiles",Top gun & Top gun : Maverick - 2 Blu-ray,#41,"4,8 sur 5 étoiles","NICREW Fontaine à Eau pour Chat Chien 2 L, Distributeur Eau pour Chat Silencieux avec Filtre Remplaçable, Grise",#41,"4,3 sur 5 étoiles"
"Lot de 5 Clé USB 32 Go ENUODA USB 2.0 Flash Drive Stockage Rotation Disque Mémoire Stick ,Mixte Couleur:Rouge Vert Noir Bleu Violet",#42,"4,5 sur 5 étoiles",Tom Cruise,#42,"5,0 sur 5 étoiles","Brosse Chiens Chats, Baytion Brosse Autonettoyante Poils Morts pour Chat Chien Poil Long Court pour Eliminer Efficacement jusqu'à 95% des Poils Morts et Poils Tomentose Sous-poil Tangles Dead",#42,"4,3 sur 5 étoiles"
Samsung Carte mémoire microSD Evo Plus 128 Go SDXC U3 Classe 10 A2 130 Mo/s avec Adaptateur Version 2021 (MB-MC128KA/EU),#43,"4,7 sur 5 étoiles",Doctor Strange in The Multiverse of Madness,#43,"4,8 sur 5 étoiles","Toozey Longe pour Chien, 5m | 10m | 15m | 20m, Laisse Chien 10m avec Poignée et Sac de Rangement Longue Corde Chien, Laisse Longue Caoutchoutée, Antidérapante et Robuste pour Petits à Grands Chiens",#43,"4,6 sur 5 étoiles"
"SanDisk Ultra 32Go SDHC Carte, jusqu'à 120 Mo/s, Classe 10, UHS-I, V10",#44,"4,6 sur 5 étoiles",Benedict Cumberbatch,#44,"4,8 sur 5 étoiles","AIME Rouleau de 8 Sacs pour Bac à Litière pour Chat, Sacs avec Poignées, Format Universel 50x38,5cm",#44,"4,4 sur 5 étoiles"
"SanDisk Ultra Flair 128 Go Clé USB 3.0, dotée d'un corps épuré en métal durable et d'une vitesse de lecture maximale de 150 Mo/s - Noire",#45,"4,6 sur 5 étoiles",BAC Nord,#45,"4,5 sur 5 étoiles",ADVANTAGE Chat – Anti-Puces pour Chats – 4KG Et Plus - 4 Pipettes,#45,"4,5 sur 5 étoiles"
"Samsung 870 QVO MZ-77Q1T0BW | Disque SSD Interne 1 To, SATA III, 2,5'' - Technologie QLC seconde génération",#46,"4,8 sur 5 étoiles",Gilles Lellouche,#46,"4,3 sur 5 étoiles","PetSafe - Litière pour Chat Cristal Non-Agglomérante Bleue Haut De Gamme Scoopfree, en gel de silice, 99% moins de poussière, absorbe le liquide et déssèche les excréments, Lot de 2 sachets",#46,"4,5 sur 5 étoiles"
"Samsung SSD 870 EVO MZ-77E500B/EU | Disque SSD interne 2,5’’ haute vitesse, 500 Go - Pour les gamers et professionnels.",#47,"4,8 sur 5 étoiles",Jurassic World : Le Monde D'APRES [ 4K Ultra HD + Blu-ray ],#47,"4,8 sur 5 étoiles",WHISKAS Repas pour Chat Junior - 48 Sachets Fraîcheur (Lot de 4 Packs 12x100g) - Pâtée pour Chaton en Gelée - Poulet / Dinde / Canard / Volaille - Nourriture Complète & Equilibrée Ingrédients Naturels,#47,"4,6 sur 5 étoiles"
HP 302XL Cartouche d'Encre Noire grande capacité Authentique (F6U68AE),#48,"4,7 sur 5 étoiles",Chris Pratt,#48,"4,7 sur 5 étoiles","Rescue Pets Compte-Gouttes, La sérénité à portée pour nos animaux de compagnie, Vegan, Complément alimentaire pour animaux de compagnie, 1 Flacon Compte Gouttes x 10 ml",#48,"4,2 sur 5 étoiles"
"Crucial BX500 480 Go CT480BX500SSD1 jusqu'à 540 Mo/s, SSD interne, 3D NAND, SATA, 2,5 pouces, noir",#49,"4,8 sur 5 étoiles",The Batman Blu-Ray Bonus,#49,"2,2 sur 5 étoiles",SERESTO Chien – Collier Anti-Puces et Anti-Tiques pour Petits Chiens - Moins de 8KG,#49,"4,6 sur 5 étoiles"
"ARCTIC MX-2 (4 g) - Pâte thermique performante pour tous les processeurs (CPU, GPU - PC, PS4, XBOX), haute conductivité thermique, application sûre, non conductrice, non captive",#50,"4,6 sur 5 étoiles",Robert Pattinson,#50,"4,4 sur 5 étoiles","Mangeoire Automatique pour Chat 3L, avec Bol en Acier Inoxydable et Sac déshydratant, avec écran LCD et Double Alimentation chronométrée pour Chien, 1 à 4 Repas par Jour",#50,"4,3 sur 5 étoiles"
